2007,-10,-6,31,6,21,-2,11,-3,16,16
2005,15,-2,32,9,-9,-10,37,9,12,1
2006,31,15,13,27,26,26,2,5,-2,36
2007,-9,7,40,29,3,36,-5,38,10,30
2002,-8,36,13,21,13,11,12,-4,5,28
2000,-9,32,-5,32,25,8,32,17,25,8
2007,40,-3,-3,17,4,29,31,6,28,-9
2007,37,40,7,18,20,-8,21,30,12,26
2003,5,24,-7,23,35,35,37,19,35,22
2008,25,31,0,25,-6,-8,34,-2,7,35
2005,-3,20,28,22,30,11,-6,39,-8,35
2000,-3,-9,0,-4,14,25,15,14,18,22
2002,18,16,25,27,-5,14,-6,28,28,24
2003,11,21,20,14,-6,20,35,40,12,28
2008,-9,34,8,31,5,-1,19,30,11,8
2009,0,38,18,6,-3,32,-7,-2,27,25
2009,-8,18,29,20,3,-7,27,1,-7,28
2006,5,23,-4,11,36,-5,28,18,36,3
2007,9,18,28,31,4,9,0,12,6,2
2002,24,0,3,37,29,7,33,32,23,15
